datetime,MS,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
2015-01-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-01-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-02-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-02-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-02-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-02-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-02-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2015-02-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
